#,Fixture,Qty,Mode,ChPerUnit,Universe,StartAddress
1,Showtec Phantom 65 Spot,1,13ch,13,1,001
2,Showtec Phantom 65 Spot,1,13ch,13,1,014
3,Showtec Phantom 65 Spot,1,13ch,13,1,027
4,Showtec Phantom 65 Spot,1,13ch,13,1,040
5,Showtec Phantom 65 Spot,1,13ch,13,1,053
6,Showtec Phantom 65 Spot,1,13ch,13,1,066
7,Cameo Nanobeam 600,1,14ch,14,1,079
8,Cameo Nanobeam 600,1,14ch,14,1,093
9,Showtec Shark Zoom Wash One,1,15ch,15,1,107
10,Showtec Shark Zoom Wash One,1,15ch,15,1,122
11,BeamZ LCB244 LED Bar,1,58ch,58,1,137
12,BeamZ LCB244 LED Bar,1,58ch,58,1,195
13,BeamZ LCB244 LED Bar,1,58ch,58,1,253
14,ADJ Sweeper Beam Quad LED,1,39ch,39,1,311
15,ADJ Sweeper Beam Quad LED,1,39ch,39,1,350
16,Martin THRILL Vertical Fogger,1,7ch,7,1,389
17,BeamZ S1500LED Smoke Machine,1,7ch,7,1,396
18,BeamZ SB200 LED Stage Blinder,1,6ch,6,1,403
19,BeamZ SB200 LED Stage Blinder,1,6ch,6,1,409
